word,r,g,b
least,113,58,208
fat,31,208,249
box,53,191,116
slow,33,208,112
drink,84,179,60
upward,68,191,157
task,68,84,142
train,68,84,142
pupil,213,129,25
hunter,239,217,198
sets,33,208,112
pine,213,129,25
want,45,20,48
which,45,20,48
coat,181,61,238
wealth,45,20,48
rising,234,17,9
force,31,208,249
room,234,17,9
flame,31,208,249
lunch,113,58,208
on,208,133,25
mean,231,168,70
grass,68,238,98
pool,213,129,25
struck,33,208,112
island,141,120,127
shelf,33,208,112
inside,141,120,127
arm,113,221,120
label,113,58,208
pride,213,129,25
dry,84,179,60
sell,33,208,112
wing,45,20,48
scene,33,208,112
pole,213,129,25
music,231,168,70
repeat,234,17,9
per,213,129,25
angry,113,221,120
wild,45,20,48
am,113,221,120
title,68,84,142
floor,31,208,249
figure,31,208,249
bar,53,191,116
maybe,231,168,70
war,45,20,48
learn,113,58,208
strong,33,208,112
lift,113,58,208
glad,68,238,98
whose,45,20,48
apple,113,221,120
eight,22,64,85
yard,165,252,152
your,165,252,152
parent,213,129,25
met,231,168,70
three,68,84,142
grow,68,238,98
real,234,17,9
cap,181,61,238
gentle,68,238,98
author,113,221,120
ground,68,238,98
seed,33,208,112
that,68,84,142
reader,234,17,9
course,181,61,238
too,68,84,142
plant,213,129,25
basic,53,191,116
motor,231,168,70
bus,53,191,116
should,33,208,112
powder,213,129,25
writer,45,20,48
made,231,168,70
leaf,113,58,208
lose,113,58,208
bright,53,191,116
sleep,33,208,112
lot,113,58,208
tip,68,84,142
may,231,168,70
must,231,168,70
chief,181,61,238
health,239,217,198
garden,68,238,98
giving,68,238,98
fix,31,208,249
gain,68,238,98
noted,111,205,191
tune,68,84,142
object,208,133,25
each,22,64,85
birth,53,191,116
minute,231,168,70
trick,68,84,142
muscle,231,168,70
serve,33,208,112
two,68,84,142
run,234,17,9
term,68,84,142
level,113,58,208
gone,68,238,98
broke,53,191,116
become,53,191,116
easy,22,64,85
again,113,221,120
accept,113,221,120
colony,181,61,238
became,53,191,116
either,22,64,85
had,239,217,198
wait,45,20,48
thou,68,84,142
foot,31,208,249
wise,45,20,48
bottom,53,191,116
grade,68,238,98
held,239,217,198
gas,68,238,98
nodded,111,205,191
mail,231,168,70
pet,213,129,25
book,53,191,116
roof,234,17,9
hung,239,217,198
bowl,53,191,116
sure,33,208,112
date,84,179,60
fly,31,208,249
rock,234,17,9
upon,68,191,157
began,53,191,116
shot,33,208,112
come,181,61,238
our,208,133,25
sand,33,208,112
camera,181,61,238
white,45,20,48
sick,33,208,112
after,113,221,120
me,231,168,70
cup,181,61,238
chest,181,61,238
brain,53,191,116
board,53,191,116
calm,181,61,238
bank,53,191,116
slabs,33,208,112
worse,45,20,48
return,234,17,9
fierce,31,208,249
detail,84,179,60
equal,22,64,85
solid,33,208,112
paper,213,129,25
mainly,231,168,70
plate,213,129,25
goose,68,238,98
love,113,58,208
range,234,17,9
its,141,120,127
spring,33,208,112
wonder,45,20,48
build,53,191,116
sides,33,208,112
son,33,208,112
winter,45,20,48
steep,33,208,112
dirty,84,179,60
grain,68,238,98
clean,181,61,238
see,33,208,112
type,68,84,142
salmon,33,208,112
end,22,64,85
member,231,168,70
sit,33,208,112
toy,68,84,142
brave,53,191,116
actual,113,221,120
jump,83,16,40
cover,181,61,238
warm,45,20,48
what,45,20,48
stock,33,208,112
hair,239,217,198
get,68,238,98
hang,239,217,198
failed,31,208,249
bear,53,191,116
score,33,208,112
six,33,208,112
feed,31,208,249
do,84,179,60
mostly,231,168,70
good,68,238,98
extra,22,64,85
area,113,221,120
have,239,217,198
reason,234,17,9
free,31,208,249
at,113,221,120
mother,231,168,70
sad,33,208,112
arrive,113,221,120
ship,33,208,112
nuts,111,205,191
meant,231,168,70
travel,68,84,142
ocean,208,133,25
round,234,17,9
dead,84,179,60
wind,45,20,48
inch,141,120,127
team,68,84,142
film,31,208,249
column,181,61,238
donkey,84,179,60
while,45,20,48
fallen,31,208,249
behind,53,191,116
log,113,58,208
rather,234,17,9
zulu,20,108,41
up,68,191,157
shine,33,208,112
tales,68,84,142
acres,113,221,120
so,33,208,112
well,45,20,48
forth,31,208,249
does,84,179,60
all,113,221,120
cast,181,61,238
hole,239,217,198
pile,213,129,25
draw,84,179,60
danger,84,179,60
forest,31,208,249
mouse,231,168,70
sudden,33,208,112
fish,31,208,249
touch,68,84,142
bit,53,191,116
gray,68,238,98
famous,31,208,249
bet,53,191,116
friend,31,208,249
avoid,113,221,120
parts,213,129,25
block,53,191,116
silly,33,208,112
seven,33,208,112
as,113,221,120
wave,45,20,48
color,181,61,238
best,53,191,116
fifth,31,208,249
nearer,111,205,191
ranch,234,17,9
drawn,84,179,60
heard,239,217,198
shirt,33,208,112
act,113,221,120
eager,22,64,85
record,234,17,9
let,113,58,208
burst,53,191,116
spread,33,208,112
pie,213,129,25
waste,45,20,48
basket,53,191,116
bell,53,191,116
fence,31,208,249
palace,213,129,25
flight,31,208,249
move,231,168,70
older,208,133,25
truck,68,84,142
safety,33,208,112
make,231,168,70
habit,239,217,198
modern,231,168,70
game,68,238,98
circle,181,61,238
short,33,208,112
guess,68,238,98
eat,22,64,85
wet,45,20,48
child,181,61,238
hit,239,217,198
bag,53,191,116
nails,111,205,191
seldom,33,208,112
slight,33,208,112
rain,234,17,9
club,181,61,238
theory,68,84,142
city,181,61,238
share,33,208,112
you,165,252,152
wide,45,20,48
plus,213,129,25
rest,234,17,9
frame,31,208,249
fight,31,208,249
size,33,208,112
clay,181,61,238
give,68,238,98
useful,68,191,157
write,45,20,48
flew,31,208,249
double,84,179,60
cold,181,61,238
steel,33,208,112
design,84,179,60
born,53,191,116
refer,234,17,9
cabin,181,61,238
space,33,208,112
visit,74,108,121
pick,213,129,25
eaten,22,64,85
trade,68,84,142
sail,33,208,112
key,103,91,143
rubbed,234,17,9
cowboy,181,61,238
under,68,191,157
native,111,205,191
hay,239,217,198
total,68,84,142
having,239,217,198
go,68,238,98
swam,33,208,112
tight,68,84,142
orbit,208,133,25
smoke,33,208,112
headed,239,217,198
myself,231,168,70
shop,33,208,112
gulf,68,238,98
dress,84,179,60
who,45,20,48
within,45,20,48
soon,33,208,112
high,239,217,198
pale,213,129,25
break,53,191,116
men,231,168,70
tent,68,84,142
done,84,179,60
zebra,20,108,41
here,239,217,198
warn,45,20,48
wrong,45,20,48
seen,33,208,112
pretty,213,129,25
large,113,58,208
eye,22,64,85
dull,84,179,60
he,239,217,198
factor,31,208,249
border,53,191,116
mind,231,168,70
belt,53,191,116
garage,68,238,98
aid,113,221,120
stiff,33,208,112
slip,33,208,112
worry,45,20,48
fox,31,208,249
happen,239,217,198
food,31,208,249
around,113,221,120
reach,234,17,9
screen,33,208,112
bound,53,191,116
noise,111,205,191
fourth,31,208,249
thin,68,84,142
show,33,208,112
past,213,129,25
doing,84,179,60
raw,234,17,9
tone,68,84,142
fairly,31,208,249
ran,234,17,9
crack,181,61,238
animal,113,221,120
amount,113,221,120
hollow,239,217,198
hide,239,217,198
track,68,84,142
street,33,208,112
though,68,84,142
number,111,205,191
open,208,133,25
finest,31,208,249
mill,231,168,70
kind,103,91,143
guide,68,238,98
gift,68,238,98
meat,231,168,70
row,234,17,9
brush,53,191,116
page,213,129,25
into,141,120,127
worker,45,20,48
matter,231,168,70
ring,234,17,9
cry,181,61,238
hello,239,217,198
coming,181,61,238
today,68,84,142
ice,141,120,127
lake,113,58,208
found,31,208,249
graph,68,238,98
basis,53,191,116
wish,45,20,48
itself,141,120,127
then,68,84,142
belong,53,191,116
pot,213,129,25
paid,213,129,25
final,31,208,249
tax,68,84,142
week,45,20,48
escape,22,64,85
pure,213,129,25
star,33,208,112
was,45,20,48
plane,213,129,25
yet,165,252,152
house,239,217,198
east,22,64,85
action,113,221,120
manner,231,168,70
sun,33,208,112
trap,68,84,142
castle,181,61,238
broad,53,191,116
long,113,58,208
could,181,61,238
my,231,168,70
